file_name,functionVerified,function_name,function_line,error
 crypto/poly1305/poly1305_ieee754.c, poly1305_blocks, poly1305_blocks , 314 ,dereference failure: invalid pointer
 crypto/poly1305/poly1305_ieee754.c, poly1305_emit, poly1305_emit , 479 ,dereference failure: invalid pointer
 crypto/poly1305/poly1305_ieee754.c, poly1305_init, poly1305_init , 122 ,dereference failure: invalid pointer
 crypto/chacha/chacha_enc.c, ChaCha20_ctr32, ChaCha20_ctr32 , 102 ,dereference failure: invalid pointer
 crypto/chacha/chacha_enc.c, chacha20_core, memcpy , 264 ,dereference failure: invalid pointer
