file_name,functionVerified,function_name,function_line,error
 Utilities/cmbzip2/bzip2.c, uInt64_toAscii, uInt64_toAscii , 300 ,dereference failure: invalid pointer
 Utilities/cmbzip2/bzip2.c, uInt64_to_double, uInt64_to_double , 258 ,dereference failure: invalid pointer
 Utilities/cmbzip2/blocksort.c, BZ2_blockSort, BZ2_blockSort , 1033 ,dereference failure: invalid pointer
 Utilities/cmbzip2/blocksort.c, fallbackQSort3, fallbackSimpleSort , 55 ,dereference failure: invalid pointer
 Utilities/cmbzip2/blocksort.c, mainGtU, mainGtU , 464 ,dereference failure: invalid pointer
 Utilities/cmbzip2/blocksort.c, mainQSort3, mainQSort3 , 652 ,dereference failure: invalid pointer
 Utilities/cmbzip2/blocksort.c, mainSort, mainSort , 770 ,dereference failure: invalid pointer
 Utilities/cmbzip2/dlltest.c, main, main , 85 ,dereference failure: array bounds violated
 Utilities/cmlibarchive/libarchive/archive_blake2sp_ref.c, blake2sp_final, blake2sp_final , 189 ,dereference failure: invalid pointer
 Utilities/cmlibarchive/libarchive/archive_blake2s_ref.c, blake2s_compress, load32 , 42 ,dereference failure: invalid pointer
 Utilities/cmlibarchive/libarchive/archive_blake2s_ref.c, blake2s_final, blake2s_final , 246 ,dereference failure: invalid pointer
 Utilities/cmlibarchive/libarchive/archive_blake2s_ref.c, blake2s_increment_counter, blake2s_increment_counter , 63 ,dereference failure: invalid pointer
 Utilities/cmlibarchive/libarchive/archive_blake2s_ref.c, blake2s_init0, blake2s_init0 , 72 ,dereference failure: invalid pointer
 Utilities/cmlibarchive/libarchive/archive_blake2s_ref.c, blake2s_is_lastblock, blake2s_is_lastblock , 51 ,dereference failure: invalid pointer
 Utilities/cmlibarchive/libarchive/archive_blake2s_ref.c, blake2s_set_lastblock, blake2s_set_lastblock , 56 ,dereference failure: invalid pointer
 Utilities/cmlibarchive/libarchive/archive_blake2s_ref.c, blake2s_set_lastnode, blake2s_set_lastnode , 45 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, construct_BWT, construct_BWT , 112 ,assertion T[s - 1] >= T[s]
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, construct_BWT_indexes, construct_BWT_indexes , 1809 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, divbwt, divbwt , 1883 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, divsufsort, divsufsort , 1856 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, sort_typeBstar, sort_typeBstar , 1457 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_blockswap, ss_blockswap , 545 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_compare, ss_compare , 237 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_fixdown, ss_fixdown , 289 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_heapsort, ss_heapsort , 306 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_inplacemerge, ss_inplacemerge , 616 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_insertionsort, ss_insertionsort , 263 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_isqrt, ss_isqrt , 211 ,array bounds violated: array `sqq_table' lower bound
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_median3, ss_median3 , 328 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_median5, ss_median5 , 344 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_mergebackward, ss_mergebackward , 728 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_mergeforward, ss_mergeforward , 672 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_pivot, ss_median3 , 329 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_rotate, ss_rotate , 575 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, ss_swapmerge, ss_swapmerge , 776 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, sssort, ss_median3 , 327 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_copy, tr_copy , 1121 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_fixdown, tr_fixdown , 953 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_heapsort, tr_fixdown , 951 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_insertionsort, tr_insertionsort , 931 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_median3, tr_median3 , 990 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_median5, tr_median5 , 1006 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_partialcopy, tr_partialcopy , 1146 ,Same object violation
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, tr_partition, tr_partition , 1085 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, trbudget_check, trbudget_check , 1058 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, trbudget_init, trbudget_init , 1051 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/dictBuilder/divsufsort.c, trsort, tr_median3 , 989 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/common/xxhash.c, XXH32_digest, XXH32_digest_endian , 653 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/common/xxhash.c, XXH32_freeState, XXH_free , 84 ,dereference failure: invalid pointer freed
 Utilities/cmzstd/lib/common/xxhash.c, XXH64_digest, XXH64_digest_endian , 806 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/common/xxhash.c, XXH64_digest_endian, XXH64_digest_endian , 772 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/common/xxhash.c, XXH64_endian_align, XXH_readLE64_align , 267 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/compress/hist.c, HIST_count, HIST_count_wksp , 172 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/compress/hist.c, HIST_countFast, HIST_count_parallel_wksp , 74 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/compress/hist.c, HIST_count_simple, HIST_count_simple , 34 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/deprecated/zbuff_compress.c, ZBUFF_compressContinue, ZBUFF_compressContinue , 102 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/deprecated/zbuff_compress.c, ZBUFF_compressEnd, ZBUFF_compressEnd , 135 ,dereference failure: invalid pointer
 Utilities/cmzstd/lib/deprecated/zbuff_compress.c, ZBUFF_compressFlush, ZBUFF_compressFlush , 122 ,dereference failure: invalid pointer
 Source/cm_utf8.c, cm_utf8_decode_character, cm_utf8_decode_character , 46 ,dereference failure: invalid pointer
 Source/kwsys/testFail.c, testFail, testFail , 17 ,dereference failure: invalid pointer
 Modules/CMakeCCompilerABI.c, main, main , 19 ,array bounds violated: array `info_sizeof_dptr' upper bound
 Tests/FunctionTest/functionTest.c, main,Test.c line 5 function main , 5 ,dereference failure: array bounds violated
 Tests/CTestTest/SmallAndFast/echoargs.c, main, main , 7 ,dereference failure: array bounds violated
 Tests/CTestTestStopTime/sleep.c, main, main , 12 ,dereference failure: array bounds violated
 Tests/TryCompile/expect_arg.c, main, main , 8 ,dereference failure: array bounds violated
 Tests/ExportImport/Export/testExe4.c, main, main , 10 ,dereference failure: array bounds violated
 Tests/FindOpenACC/CTest/main.c, main, main , 25 ,dereference failure: NULL pointer
 Tests/CTestTestResourceLock/lockFile.c, main, main , 15 ,dereference failure: array bounds violated
 Tests/TestsWorkingDirectory/main.c, main, main , 61 ,dereference failure: array bounds violated
 Tests/FindX11/Test/main.c, main, main , 472 ,array bounds violated: array `fptrs' lower bound
 Tests/FindOpenMP/Test/scalprod.c, scalprod, scalprod , 13 ,dereference failure: invalid pointer
 Tests/RunCMake/exit_code.c, main, main , 18 ,dereference failure: array bounds violated
 Tests/RunCMake/pseudo_emulator.c, main, main , 9 ,dereference failure: array bounds violated
 Tests/GeneratorExpression/echo.c, main, main , 6 ,dereference failure: array bounds violated
