file_name,functionVerified,function_name,function_line,error
 compat/strtok_r.c, strtok_r, strtok_r , 44 ,dereference failure: invalid pointer
 compat/sincos.c, sincos, sincos , 29 ,dereference failure: invalid pointer
 compat/sincos.c, sincosf, sincosf , 35 ,dereference failure: invalid pointer
 compat/strverscmp.c, strverscmp, strverscmp , 76 ,dereference failure: invalid pointer
 compat/realpath.c, realpath, realpath , 38 ,dereference failure: invalid pointer
 compat/timegm.c, timegm, timegm , 46 ,dereference failure: invalid pointer
 compat/gmtime_r.c, gmtime_r, gmtime_r , 89 ,dereference failure: array bounds violated
 compat/memrchr.c, memrchr, memrchr , 36 ,dereference failure: invalid pointer
 compat/strtoll.c, strtoll, strtoll , 41 ,dereference failure: invalid pointer
 compat/strndup.c, strndup, memcpy , 264 ,dereference failure: invalid pointer
 compat/strnstr.c, strnstr, strnstr , 112 ,assertion needle != NULL
 compat/nrand48.c, erand48, iterate48 , 33 ,dereference failure: invalid pointer
 compat/strdup.c, strdup, strlen , 78 ,dereference failure: invalid pointer
 compat/strsep.c, strsep, strpbrk , 197 ,dereference failure: invalid pointer
 compat/swab.c, swab, swab , 39 ,dereference failure: invalid pointer
 compat/strcasestr.c, strcasestr, strcasestr , 47 ,dereference failure: invalid pointer
 compat/strnlen.c, strnlen, memchr , 319 ,dereference failure: invalid pointer
 compat/getdelim.c, getdelim, getdelim , 32 ,dereference failure: invalid pointer
 compat/getdelim.c, getline, getdelim , 31 ,dereference failure: invalid pointer
 src/text/url.c, encode_URI_bytes, encode_URI_bytes , 108 ,dereference failure: invalid pointer
 src/text/url.c, vlc_UrlClean, vlc_UrlClean , 600 ,dereference failure: invalid pointer
 src/text/url.c, vlc_UrlParse, vlc_iri2uri , 369 ,dereference failure: array bounds violated
 src/text/url.c, vlc_UrlParseFixup, vlc_iri2uri , 340 ,dereference failure: invalid pointer
 src/text/url.c, vlc_UrlParseInner, vlc_UrlParseInner , 412 ,dereference failure: invalid pointer
 src/text/url.c, vlc_uri2path, strstr , 215 ,dereference failure: invalid pointer
 src/text/url.c, vlc_uri_decode, vlc_uri_decode , 67 ,dereference failure: invalid pointer
 src/text/url.c, vlc_uri_fixup, vlc_uri_fixup , 887 ,dereference failure: invalid pointer
 src/text/url.c, vlc_uri_merge_paths, strchr , 127 ,dereference failure: invalid pointer
 src/text/url.c, vlc_uri_remove_dot_segments, strcspn , 182 ,dereference failure: invalid pointer
 src/text/filesystem.c, compar_void, compar_void , 114 ,dereference failure: invalid pointer
 src/text/memstream.c, vlc_memstream_close, vlc_memstream_close , 122 ,dereference failure: invalid pointer
 src/text/memstream.c, vlc_memstream_flush, vlc_memstream_flush , 117 ,dereference failure: invalid pointer
 src/text/memstream.c, vlc_memstream_open, vlc_memstream_open , 107 ,dereference failure: invalid pointer
 src/text/memstream.c, vlc_memstream_putc, vlc_memstream_write , 860 ,dereference failure: invalid pointer
 src/text/unicode.c, FromCharset, FromCharset , 260 ,dereference failure: invalid pointer
 src/text/unicode.c, ToCharset, ToCharset , 302 ,dereference failure: invalid pointer
 src/text/unicode.c, vlc_towc, vlc_towc , 205 ,assertion
 src/misc/mtime.c, date_Change, date_Change , 81 ,division by zero
 src/misc/mtime.c, date_Init, date_Init , 71 ,dereference failure: invalid pointer
 src/misc/md5.c, md5_init, md5_init , 60 ,dereference failure: invalid pointer
 src/misc/md5.c, md5_write, md5_write , 226 ,dereference failure: invalid pointer
 src/misc/md5.c, transform, transform , 87 ,dereference failure: invalid pointer
 src/misc/md5.c, vlc_hash_md5_Update, md5_write , 238 ,dereference failure: invalid pointer
 src/misc/objres.c, vlc_obj_free, vlc_objres_remove , 118 ,dereference failure: invalid pointer
 src/misc/objres.c, vlc_obj_malloc, vlc_objres_push , 69 ,dereference failure: invalid pointer
 src/misc/objres.c, vlc_obj_res, vlc_obj_res , 45 ,dereference failure: invalid pointer
 src/misc/block.c, BlockMetaCopy, BlockMetaCopy , 92 ,dereference failure: invalid pointer
 src/misc/block.c, block_Init, block_Init , 64 ,dereference failure: invalid pointer
 src/misc/block.c, block_Realloc, block_Release , 141 ,dereference failure: invalid pointer
 src/misc/block.c, block_heap_Alloc, block_heap_Alloc , 259 ,dereference failure: invalid pointer freed
 src/misc/block.c, block_heap_Release, block_heap_Release , 245 ,dereference failure: invalid pointer
 src/misc/epg.c, vlc_epg_AddEvent, vlc_epg_AddEvent , 138 ,dereference failure: invalid pointer
 src/misc/epg.c, vlc_epg_Delete, vlc_epg_Clean , 128 ,dereference failure: invalid pointer
 src/misc/epg.c, vlc_epg_Init, vlc_epg_Init , 116 ,dereference failure: invalid pointer
 src/misc/epg.c, vlc_epg_event_Init, vlc_epg_event_Init , 57 ,dereference failure: invalid pointer
 src/misc/fifo.c, block_FifoRelease, vlc_fifo_DequeueAllUnlocked , 85 ,dereference failure: invalid pointer
 src/misc/fifo.c, vlc_fifo_QueueUnlocked, vlc_fifo_QueueUnlocked , 62 ,dereference failure: invalid pointer
 src/misc/xml.c, xml_Create, xml_Create , 110 ,dereference failure: invalid pointer
 src/misc/xml.c, xml_Delete, xml_Delete , 125 ,dereference failure: invalid pointer
 src/misc/xml.c, xml_ReaderCreate, xml_ReaderCreate , 79 ,dereference failure: invalid pointer
 src/misc/es_format.c, es_format_Copy, es_format_Copy , 440 ,dereference failure: invalid pointer
 src/misc/es_format.c, es_format_Init, es_format_Init , 413 ,dereference failure: invalid pointer
 src/misc/es_format.c, es_format_InitFromVideo, es_format_InitFromVideo , 432 ,dereference failure: invalid pointer
 src/misc/es_format.c, video_format_CopyCrop, video_format_CopyCrop , 184 ,dereference failure: invalid pointer
 src/misc/es_format.c, video_format_FixRgb, video_format_FixRgb , 40 ,dereference failure: invalid pointer
 src/misc/es_format.c, video_format_IsSimilar, video_format_IsSimilar , 341 ,dereference failure: invalid pointer
 src/misc/es_format.c, video_format_Print, video_format_Print , 394 ,dereference failure: invalid pointer
 src/misc/es_format.c, video_format_ScaleCropAr, video_format_ScaleCropAr , 194 ,division by zero
 src/misc/queue.c, vlc_queue_Init, vlc_queue_Init , 73 ,dereference failure: invalid pointer
 src/misc/fourcc_gen.c, cmp_entry, memcmp , 310 ,dereference failure: invalid pointer
 src/misc/events.c, vlc_event_attach, vlc_event_attach , 165 ,dereference failure: invalid pointer
 src/misc/events.c, vlc_event_send, vlc_event_send , 109 ,dereference failure: invalid pointer
 src/misc/probe.c, vlc_probe, vlc_probe , 37 ,dereference failure: invalid pointer
 src/misc/text_style.c, text_segment_ChainDelete, text_segment_ChainDelete , 436 ,dereference failure: invalid pointer
 src/misc/text_style.c, text_segment_Copy, text_segment_Copy , 449 ,dereference failure: invalid pointer
 src/misc/text_style.c, text_segment_Delete, text_segment_Delete , 425 ,dereference failure: invalid pointer
 src/misc/text_style.c, text_segment_ruby_ChainDelete, text_segment_ruby_ChainDelete , 334 ,dereference failure: invalid pointer freed
